id,customer_id,amount,currency,failure_reason_code,diagnosis_category,attempt_count,status,created_at
b4fcc8bd-a5d8-4eb2-816f-be1e7ed9970c,1a0f97a0-26bc-4ece-90ed-f3f66aa9175f,990.63,INR,card_expired,customer_action,1,failed,2026-08-14T04:35:55.163957
7195a277-ee79-4602-9940-58e98982decf,a1420933-ec3b-4796-ad27-7b6e5f54e848,422.5,INR,invalid_otp,customer_action,1,failed,2026-08-14T07:35:55.164289
3cc05973-505a-4cd3-b82f-c967634c37c6,8d2188ab-76f6-40bb-bde2-cfc605c5de1b,2254.11,INR,insufficient_funds,customer_action,0,failed,2026-08-14T19:35:55.1645
eead687e-c8c6-42fe-b206-68f6d830966f,10fb33aa-0e86-4bdd-b2d7-bdfee5c39611,656.26,INR,network_error,retryable,1,failed,2026-08-14T22:35:55.164298
f46b04d1-cd8a-4488-b72e-01175db489ae,aa28a145-eab9-4710-9fa3-3999254736ea,2561.3,INR,insufficient_funds,customer_action,3,failed,2026-08-15T02:35:55.164444
05eece66-aa42-4f40-9f2f-17ff166d9028,9180d49c-fa70-4087-9096-3015c0760630,3635.27,INR,insufficient_funds,customer_action,0,failed,2026-08-15T21:35:55.164325
6fcccc30-dc81-48cb-bac8-709f721412f8,b8ddb598-2fa3-4a1f-aabb-4efd7f3a561d,459.0,INR,insufficient_funds,customer_action,0,failed,2026-08-17T02:35:55.16415
322408fc-dffe-48e9-a767-0c83befeacdc,13435751-8560-4e08-8cf4-a2d752343040,946.83,INR,invalid_otp,customer_action,0,failed,2026-08-17T04:35:55.164549
5860c3af-8b71-4867-9fcf-860770e4798b,aa28a145-eab9-4710-9fa3-3999254736ea,1843.72,INR,insufficient_funds,customer_action,3,failed,2026-08-17T05:35:55.163989
a0c4f45d-f148-4d90-b43d-71974fffb8aa,2192d463-d92e-4cca-b6c4-a47633223b83,3686.09,INR,card_expired,customer_action,0,failed,2026-08-17T09:35:55.164557
65c9e2e1-bfad-4335-8a65-776d69fec34a,d79e49f8-c0c7-4cb3-845f-dc2c0c3a59b0,4649.6,INR,insufficient_funds,customer_action,2,failed,2026-08-17T15:35:55.164126
56547db1-e9d8-47da-be70-6e001488c802,a1420933-ec3b-4796-ad27-7b6e5f54e848,326.37,INR,card_expired,customer_action,0,failed,2026-08-17T19:35:55.164097
1aacfa9f-3011-4a43-8a73-baa2afdbb9b3,9180d49c-fa70-4087-9096-3015c0760630,4020.31,INR,network_error,retryable,1,failed,2026-08-17T23:35:55.164244
06b1f239-b461-42b2-9a81-1c8af6c7206d,aa28a145-eab9-4710-9fa3-3999254736ea,4201.57,INR,bank_timeout,retryable,0,failed,2026-08-19T05:35:55.164375
d8d6b6bb-49d7-4490-8373-9a103c1d5fa6,c3526aa7-30af-45cb-9237-b1f5d4f63821,707.35,INR,insufficient_funds,customer_action,1,failed,2026-08-19T06:35:55.163822
01af217c-dead-4489-a51c-4c1901f39ff1,1c6de6f0-670c-4c9b-96a0-efa0af24f5c1,274.52,INR,insufficient_funds,customer_action,2,failed,2026-08-19T06:35:55.164407
45683f25-d432-4a60-833f-8daa86710926,8d2188ab-76f6-40bb-bde2-cfc605c5de1b,2687.1,INR,card_expired,customer_action,0,failed,2026-08-19T09:35:55.164389
b30022ce-912b-43d9-b986-6446b9e3da62,b8ddb598-2fa3-4a1f-aabb-4efd7f3a561d,489.24,INR,bank_timeout,retryable,3,failed,2026-08-19T19:35:55.164051
0538374a-521e-4a3b-9507-436cc686118f,c3526aa7-30af-45cb-9237-b1f5d4f63821,906.86,INR,invalid_otp,customer_action,1,failed,2026-08-20T03:35:55.163998
aa1b2f40-c17a-4bc8-990f-50f7db3b2b94,1a0f97a0-26bc-4ece-90ed-f3f66aa9175f,981.41,INR,processing_error,retryable,1,failed,2026-08-20T07:35:55.164198
d979035f-eb66-4197-aaab-ea345e5c6d39,9180d49c-fa70-4087-9096-3015c0760630,4511.16,INR,insufficient_funds,customer_action,3,failed,2026-08-20T12:35:55.164159
688ba8d4-ed90-4695-9b7b-4fb52c2330d0,a1420933-ec3b-4796-ad27-7b6e5f54e848,739.49,INR,bank_timeout,retryable,0,failed,2026-08-20T17:35:55.164532
25559ada-9ac9-4da3-8412-0bb191c83655,c3526aa7-30af-45cb-9237-b1f5d4f63821,550.04,INR,bank_timeout,retryable,1,failed,2026-08-21T04:35:55.16426
e8d7e159-933f-4f5c-be3f-67e69a47305f,b8ddb598-2fa3-4a1f-aabb-4efd7f3a561d,325.79,INR,processing_error,retryable,3,failed,2026-08-21T06:35:55.16452
b5cd55ef-619a-4e80-8da4-f16720145e9b,1c6de6f0-670c-4c9b-96a0-efa0af24f5c1,738.02,INR,bank_timeout,retryable,3,failed,2026-08-21T10:35:55.164341
fdded51f-ba88-444c-848a-46f2acfd7c08,c3526aa7-30af-45cb-9237-b1f5d4f63821,813.88,INR,card_expired,customer_action,0,failed,2026-08-22T01:35:55.163976
aa24013d-57bc-4585-b895-4489570d2748,69f14021-b47a-4cd4-bb76-15b426294fda,704.25,INR,insufficient_funds,customer_action,0,failed,2026-08-22T01:35:55.16428
d403bbe9-acb7-4478-bdab-4189be160e5a,aa28a145-eab9-4710-9fa3-3999254736ea,1854.78,INR,invalid_otp,customer_action,1,failed,2026-08-22T06:35:55.164416
